,"Total
population
(thousands)","Share of
persons
aged 65
years or
over
(percentage)","Under-five
mortality
(deaths
per 1,000
live births)","Life
expectancy
at birth
(years)","Adolescent
fertility
rate
(births per
1,000
women)","Contracep-
tive
prevalence
(percent-
age)","Urbanization
(percentage
of total
population)","Gross
domestic
product
at PPP
(interna-
tional
dollars
per capita)","Poverty 
below
$1.25
(PPP) a
day
(percent-
age)","Gini
index b
(percent-
age)","Mean
years of
schooling
(years)","Energy use
(kilograms
of oil
equivalent
per capita)","Carbon
dioxide
emissions
(metric tons
per capita)","Sulfur
dioxide
emissions
(kilograms
per capita)","Particulate
matter
concentra-
tion (urban
population
weighted
PM10
micrograms
per cubic
meter)"
    Burundi,10163,2,138,54,30.3,25.6,10.9,560,81.3,33,2.7,..,-,..,24
    Comoros,735,3,91,61,51.1,43.5,28.0,1230,46.1,64,..,..,0.2,..,30
    Djibouti,873,4,82,62,18.6,28.8,77.1,2784,18.8,40,..,..,0.6,..,28
    Eritrea,6333,2,54,63,65.3,18.4,21.3,566,..,..,..,130,0.1,1.0,61
    Ethiopia,94101,3,72,64,78.4,32.4,17.0,1139,30.7,34,..,381,0.1,0.4,47
    Kenya,44354,3,76,62,93.6,50.7,24.0,1761,43.4,48,6.3,478,0.3,1.4,30
    Madagascar,22925,3,53,65,122.8,44.0,32.6,978,81.3,44,..,..,0.1,..,28
    Malawi,16363,3,117,55,144.8,49.1,15.7,902,73.9,44,4.2,..,0.1,..,29
    Mauritius 1,1244,9,13,74,30.9,76.0,41.8,15649,..,..,7.2,..,3.0,..,16
    Mayotte,222,2,5,79,91.4,..,50.1,..,..,..,..,..,..,..,..
    Mozambique,25834,3,114,50,137.8,15.2,31.2,1024,59.6,46,1.2,425,0.1,1.5,22
    Réunion,875,9,5,80,43.2,72.7,94.3,..,..,..,6.9,..,..,..,..
    Rwanda,11777,2,71,64,33.6,52.3,19.1,1354,63.2,51,3.3,..,0.1,..,21
    Seychelles,93,8,10,73,56.3,..,53.6,27008,<2,66,..,..,8.4,..,..
    Somalia,10496,3,130,55,110.4,22.8,37.7,..,..,..,..,..,0.1,..,26
    South Sudan,11296,3,121,55,75.3,6.7,18.0,..,..,46,..,..,..,..,..
    Uganda,37579,2,85,59,126.6,32.9,15.6,1352,38.0,44,4.7,..,0.1,..,10
    United Republic of Tanzania 2,49253,3,71,62,122.7,38.4,26.7,1601,67.9,38,5.1,446,0.2,..,19
    Zambia,14539,3,100,58,125.4,47.1,39.2,1712,68.5,57,6.5,614,0.2,36.5,27
    Zimbabwe,14150,4,52,60,60.3,60.6,38.6,..,..,50,7.3,734,0.7,6.3,34
    Angola,21472,2,154,52,170.2,15.2,59.2,6105,54.3,43,..,699,1.4,1.0,58
    Cameroon,22254,3,114,55,115.8,27.8,52.1,2342,9.6,39,5.9,345,0.3,1.8,59
    Central African Republic,4616,4,149,50,98.3,29.1,39.1,857,62.8,56,3.5,..,0.1,..,35
    Chad,12825,2,153,51,152.0,6.9,21.8,1493,61.9,40,..,..,-,..,83
    Congo,4448,3,96,59,126.7,46.7,63.7,4426,54.1,47,6.1,357,0.5,13.8,57
    Dem. Republic of the Congo,67514,3,179,50,135.3,21.9,34.3,422,87.7,44,3.1,382,-,0.3,35
    Equatorial Guinea,757,3,141,53,112.6,22.0,39.5,30233,..,..,..,..,7.1,..,6
    Gabon,1672,5,64,63,103.0,40.9,86.2,16086,4.8,41,7.4,1371,1.1,10.2,7
    Sao Tome and Principe,193,3,62,66,65.1,40.2,62.7,1852,28.2,51,..,..,0.7,..,28
